Time_sec,Temperature_degC
0.05,18.58
0.1,18.58
0.15,18.58
0.2,18.58
0.25,18.58
0.3,19.56
0.35,20.05
0.4,20.05
0.45,20.05
0.5,19.56
0.55,19.56
0.6,19.56
0.65,19.56
0.7,19.56
0.75,19.56
0.8,19.56
0.85,19.56
0.9,19.56
0.95,19.56
1,19.07
1.05,19.07
1.1,19.07
1.15,19.07
1.2,19.07
1.25,19.07
1.3,19.07
1.35,19.07
1.4,19.07
1.451,19.07
1.5,19.07
1.55,19.07
1.6,19.07
1.65,19.07
1.7,19.07
1.75,19.07
1.8,19.07
1.85,19.07
1.9,19.07
1.95,19.07
2,19.07
2.05,19.07
2.1,19.07
2.15,19.07
2.2,19.07
2.25,19.07
2.3,19.07
2.35,19.07
2.4,19.07
2.45,19.07
2.5,19.07
2.55,19.07
2.6,18.58
2.65,19.07
2.7,19.07
2.75,19.07
2.8,19.07
2.85,19.07
2.9,19.07
2.95,19.07
3,19.07
3.05,19.07
3.1,19.07
3.15,19.07
3.2,19.07
3.25,19.07
3.3,19.07
3.35,19.07
3.4,19.07
3.45,19.07
3.5,19.07
3.55,19.07
3.6,19.07
3.65,19.07
3.7,19.07
3.75,19.07
3.8,19.07
3.85,18.58
3.9,19.07
3.95,19.07
4,18.58
4.05,18.58
4.1,19.07
4.15,19.07
4.2,19.07
4.25,19.56
4.3,19.07
4.35,19.07
4.4,19.07
4.45,19.07
4.5,19.07
4.55,19.07
4.6,19.07
4.651,19.07
4.7,19.07
4.75,19.07
4.8,19.07
4.85,19.07
4.9,19.07
4.95,19.07
5,19.07
5.05,19.07
5.1,19.07
5.15,19.07
5.2,19.56
5.25,19.07
5.3,19.07
5.35,19.07
5.4,19.07
5.45,19.07
5.5,19.07
5.55,19.07
5.6,19.07
5.65,19.07
5.7,19.07
5.75,19.07
5.8,19.07
5.85,19.07
5.9,19.07
5.95,19.07
6,19.07
6.05,19.07
6.1,19.07
6.15,19.07
6.2,19.07
6.25,19.07
6.3,19.07
6.35,19.07
6.4,19.07
6.45,19.07
6.5,19.07
6.55,19.07
6.6,19.07
6.65,19.07
6.7,19.07
6.75,19.07
6.8,19.07
6.85,19.07
6.9,19.07
6.95,19.07
7,19.07
7.05,19.07
7.1,19.07
7.15,19.07
7.2,19.07
7.25,19.07
7.3,19.07
7.35,19.07
7.4,19.56
7.45,19.07
7.5,19.07
7.55,19.07
7.6,19.07
7.65,19.07
7.7,19.07
7.75,19.07
7.8,19.07
7.851,19.07
7.9,19.07
7.95,19.07
8,19.07
8.05,19.07
8.1,19.07
8.15,19.07
8.2,19.56
8.25,19.07
8.3,19.07
8.35,19.56
8.4,19.07
8.45,19.07
8.5,19.56
8.55,19.07
8.6,19.07
8.65,19.07
8.7,19.07
8.75,19.07
8.8,19.07
8.85,19.07
8.9,19.07
8.95,19.07
9,19.07
9.05,19.07
9.1,19.07
