Time_sec,Temperature_degC,time offset,part 2,logic,,start temp,4.641304348
1,4,-11.2,1.00673674,0,,end temp,99.83636364
1.25,4,-10.95,1.00673674,0,,temp at tau,64.81605842
1.5,4,-10.7,1.00673674,0,,tau +start time,13.82711764
1.75,4,-10.45,1.00673674,0,,start time,12.2
2,4.25,-10.2,1.004110553,0,,tau,1.627117638
2.25,4.25,-9.95,1.004110553,0,,,
2.5,4.25,-9.7,1.004110553,0,,new tau,1.160092807
2.75,4.5,-9.45,1.001484366,0,,,
3,4.5,-9.2,1.001484366,0,,,
3.25,4.5,-8.95,1.001484366,0,,,
3.5,4.5,-8.7,1.001484366,0,,,
3.75,4.5,-8.45,1.001484366,0,,,
4,4.5,-8.2,1.001484366,0,,,
4.25,4.5,-7.95,1.001484366,0,,,
4.5,4.5,-7.7,1.001484366,0,,,
4.75,4.5,-7.45,1.001484366,0,,,
5,4.5,-7.2,1.001484366,0,,,
5.25,4.5,-6.95,1.001484366,0,,,
5.5,4.5,-6.7,1.001484366,0,,,
5.75,4.5,-6.45,1.001484366,0,,,
6,4.5,-6.2,1.001484366,0,,,
6.25,4.5,-5.95,1.001484366,0,,,
6.5,4.75,-5.7,0.99885818,0,,,
6.75,4.75,-5.45,0.99885818,0,,,
7,4.75,-5.2,0.99885818,0,,,
7.25,4.75,-4.95,0.99885818,0,,,
7.5,4.75,-4.7,0.99885818,0,,,
7.75,4.75,-4.45,0.99885818,0,,,
8,4.75,-4.2,0.99885818,0,,,
8.25,4.75,-3.95,0.99885818,0,,,
8.5,4.75,-3.7,0.99885818,0,,,
8.75,4.75,-3.45,0.99885818,0,,,
9,5,-3.2,0.996231993,0,,,
9.25,5,-2.95,0.996231993,0,,,
9.5,5,-2.7,0.996231993,0,,,
9.75,5,-2.45,0.996231993,0,,,
10,5,-2.2,0.996231993,0,,,
10.25,4.75,-1.95,0.99885818,0,,,
10.5,4.75,-1.7,0.99885818,0,,,
10.75,5,-1.45,0.996231993,0,,,
11,5,-1.2,0.996231993,0,,,
11.25,5,-0.95,0.996231993,0,,,
11.5,5,-0.7,0.996231993,0,,,
11.75,5,-0.45,0.996231993,0,,,
