Time_sec,Temperature_degC,,,start temp,101.9695122
1,101.5,,,end temp,7.426136364
1.25,102,,,temp at tau,42.20670063
1.5,102.5,,,tau +start time,23.78904676
1.75,102.5,,,start time,22
2,101.5,,,tau,1.789046765
2.25,101.5,,,,
2.5,102,,,,
2.75,102.5,,,,
3,102.5,,,,
3.25,101.5,,,,
3.5,102,,,,
3.75,101.5,,,,
4,102.5,,,,
4.25,101.75,,,,
4.5,101.5,,,,
4.75,102,,,,
5,102,,,,
5.25,102,,,,
5.5,101.25,,,,
5.75,102,,,,
6,102.5,,,,
6.25,102,,,,
6.5,101.75,,,,
6.75,102,,,,
7,102.5,,,,
7.25,102,,,,
7.5,102,,,,
7.75,101.75,,,,
8,102.25,,,,
8.25,101.75,,,,
8.5,102.5,,,,
8.75,102.5,,,,
9,101.75,,,,
9.25,102,,,,
9.5,102.5,,,,
9.75,102,,,,
10,102,,,,
10.25,101.75,,,,
10.5,102.25,,,,
10.75,101.75,,,,
11,102.5,,,,
11.25,102.5,,,,
11.5,101.75,,,,
11.75,102,,,,
12,101.75,,,,
12.25,102.25,,,,
12.5,101.75,,,,
12.75,102.5,,,,
13,102.5,,,,
13.25,101.75,,,,
13.5,102,,,,
13.75,101.75,,,,
14,101.75,,,,
14.251,101.75,,,,
14.5,101.75,,,,
14.75,101.75,,,,
15,101.75,,,,
15.25,101.75,,,,
15.5,101.75,,,,
15.75,101.5,,,,
16,101.5,,,,
16.25,102.25,,,,
16.5,101.75,,,,
16.75,102.5,,,,
17,102.5,,,,
17.25,101.75,,,,
17.5,102,,,,
17.75,101.75,,,,
18,102.25,,,,
18.25,101.75,,,,
18.5,102.5,,,,
18.75,102.5,,,,
19,101.75,,,,
19.25,102,,,,
19.5,101.75,,,,
19.75,101.75,,,,
20,101.75,,,,
20.25,101.75,,,,
20.5,101.75,,,,
20.75,101.75,,,,
21,101.75,,,,
21.25,101.75,,,,
21.5,101.5,,,,
21.75,101.5,,,,
22,100.5,,,,
22.25,98.25,,,,
22.5,95.75,,,,
22.75,88.5,,,,
23,74.25,,,,
23.25,62,,,,
23.5,49.5,,,,
23.75,42.75,,,,
24,37.25,,,,
24.25,34.5,,,,
24.5,32.25,,,,
24.75,30.25,,,,
25,29,,,,
25.25,27.75,,,,
25.5,26.5,,,,
25.75,25.5,,,,
26,24.75,,,,
26.25,23.75,,,,
26.5,23,,,,
26.75,22,,,,
27,21.5,,,,
27.25,21,,,,
27.5,20.25,,,,
27.75,20,,,,
28,19.5,,,,
28.25,19,,,,
28.5,18.5,,,,
28.75,18.25,,,,
29,17.75,,,,
29.25,17.5,,,,
29.5,17,,,,
29.75,16.75,,,,
30,16.5,,,,
30.251,16,,,,
30.5,15.75,,,,
30.75,15.75,,,,
31,15.5,,,,
31.25,15.25,,,,
31.5,15,,,,
31.75,14.75,,,,
32,14.5,,,,
32.25,14.25,,,,
32.5,14.25,,,,
32.75,13.75,,,,
33,13.5,,,,
33.25,13.25,,,,
33.5,13.25,,,,
33.75,12.75,,,,
34,12.75,,,,
34.25,12.5,,,,
34.5,12,,,,
34.75,12,,,,
35,11.75,,,,
35.25,11.5,,,,
35.5,11.25,,,,
35.75,11,,,,
36,11,,,,
36.25,10.75,,,,
36.5,10.5,,,,
36.75,10.25,,,,
37,10.25,,,,
37.25,10,,,,
37.5,10,,,,
37.75,9.75,,,,
38,9.75,,,,
38.25,9.75,,,,
38.5,9.5,,,,
38.75,9.5,,,,
39,9.5,,,,
39.25,9.25,,,,
39.5,9.25,,,,
39.75,9.25,,,,
40,9,,,,
40.25,9,,,,
40.5,9,,,,
40.75,8.75,,,,
41,8.75,,,,
41.25,8.75,,,,
41.5,8.75,,,,
41.75,8.5,,,,
42,8.5,,,,
42.25,8.75,,,,
42.5,8.5,,,,
42.75,8.5,,,,
43,8.5,,,,
43.25,8.25,,,,
43.5,8.25,,,,
43.75,8.5,,,,
44,8.25,,,,
44.25,8.25,,,,
44.5,8.25,,,,
44.75,8.25,,,,
45,8.25,,,,
45.25,8,,,,
45.5,8,,,,
45.75,8,,,,
46,8,,,,
46.251,7.75,,,,
46.5,8,,,,
46.75,8,,,,
47,7.75,,,,
47.25,7.75,,,,
47.5,7.75,,,,
47.75,7.75,,,,
48,7.75,,,,
48.25,7.75,,,,
48.5,7.75,,,,
48.75,7.75,,,,
49,7.75,,,,
49.25,7.5,,,,
49.5,7.75,,,,
49.75,7.5,,,,
50,7.5,,,,
50.25,7.5,,,,
50.5,7.5,,,,
50.75,7.5,,,,
51,7.5,,,,
51.25,7.5,,,,
51.5,7.5,,,,
51.75,7.5,,,,
52,7.5,,,,
52.25,7.5,,,,
52.5,7.5,,,,
52.75,7.25,,,,
53,7.25,,,,
53.25,7.25,,,,
53.5,7.25,,,,
53.75,7.25,,,,
54,7.25,,,,
54.25,7.25,,,,
54.5,7.25,,,,
54.75,7.25,,,,
55,7.25,,,,
55.25,7.25,,,,
55.5,7.25,,,,
55.75,7.25,,,,
56,7.25,,,,
56.25,7.25,,,,
56.5,7.25,,,,
56.75,7.25,,,,
57,7.25,,,,
57.25,7.25,,,,
57.5,7,,,,
57.75,7,,,,
