alt,temp R,presure lb/ft^2,density slug/ft^3,,
1,518.684434,2116.123494,0.00237683041,,
2,518.680868,2116.04699,0.002376760821,,
3,518.677302,2115.970489,0.002376691234,,
4,518.673736,2115.893989,0.002376621649,,
5,518.67017,2115.817492,0.002376552065,,
6,518.666604,2115.740997,0.002376482482,,
7,518.663038,2115.664505,0.002376412901,,
8,518.659472,2115.588015,0.002376343322,,
9,518.655906,2115.511526,0.002376273744,,
10,518.65234,2115.435041,0.002376204168,,
11,518.648774,2115.358557,0.002376134594,,
12,518.645208,2115.282076,0.002376065021,,
13,518.641642,2115.205596,0.002375995449,,
14,518.638076,2115.129119,0.002375925879,,
15,518.63451,2115.052645,0.002375856311,,
16,518.630944,2114.976172,0.002375786744,,
17,518.627378,2114.899702,0.002375717179,,
18,518.623812,2114.823234,0.002375647615,,
19,518.620246,2114.746769,0.002375578053,,
20,518.61668,2114.670305,0.002375508492,,
21,518.613114,2114.593844,0.002375438933,,
22,518.609548,2114.517385,0.002375369376,,
23,518.605982,2114.440928,0.00237529982,,
24,518.602416,2114.364474,0.002375230266,,
25,518.59885,2114.288021,0.002375160713,,
26,518.595284,2114.211571,0.002375091162,,
27,518.591718,2114.135123,0.002375021612,,
28,518.588152,2114.058678,0.002374952064,,
29,518.584586,2113.982235,0.002374882517,,
30,518.58102,2113.905793,0.002374812972,,
31,518.577454,2113.829355,0.002374743429,,
32,518.573888,2113.752918,0.002374673887,,
33,518.570322,2113.676484,0.002374604347,,
34,518.566756,2113.600052,0.002374534808,,
35,518.56319,2113.523622,0.002374465271,,
36,518.559624,2113.447194,0.002374395735,,
37,518.556058,2113.370769,0.002374326201,,
38,518.552492,2113.294345,0.002374256668,,
39,518.548926,2113.217924,0.002374187138,,
40,518.54536,2113.141506,0.002374117608,,
41,518.541794,2113.065089,0.00237404808,,
42,518.538228,2112.988675,0.002373978554,,
43,518.534662,2112.912263,0.002373909029,,
44,518.531096,2112.835853,0.002373839506,,
45,518.52753,2112.759446,0.002373769984,,
46,518.523964,2112.68304,0.002373700464,,
47,518.520398,2112.606637,0.002373630946,,
48,518.516832,2112.530237,0.002373561429,,
49,518.513266,2112.453838,0.002373491914,,
50,518.5097,2112.377442,0.0023734224,,
51,518.506134,2112.301048,0.002373352887,,
52,518.502568,2112.224656,0.002373283377,,
53,518.499002,2112.148266,0.002373213868,,
54,518.495436,2112.071879,0.00237314436,,
55,518.49187,2111.995494,0.002373074854,,
56,518.488304,2111.919111,0.002373005349,,
57,518.484738,2111.84273,0.002372935847,,
58,518.481172,2111.766352,0.002372866345,,
59,518.477606,2111.689976,0.002372796845,,
60,518.47404,2111.613602,0.002372727347,,
61,518.470474,2111.53723,0.00237265785,,
62,518.466908,2111.46086,0.002372588355,,
63,518.463342,2111.384493,0.002372518862,,
64,518.459776,2111.308128,0.00237244937,,
65,518.45621,2111.231765,0.002372379879,,
66,518.452644,2111.155405,0.00237231039,,
67,518.449078,2111.079047,0.002372240903,,
68,518.445512,2111.00269,0.002372171417,,
69,518.441946,2110.926337,0.002372101933,,
70,518.43838,2110.849985,0.00237203245,,
71,518.434814,2110.773636,0.002371962969,,
72,518.431248,2110.697289,0.00237189349,,
73,518.427682,2110.620944,0.002371824012,,
74,518.424116,2110.544601,0.002371754535,,
75,518.42055,2110.468261,0.00237168506,,
76,518.416984,2110.391923,0.002371615587,,
77,518.413418,2110.315587,0.002371546115,,
78,518.409852,2110.239253,0.002371476645,,
79,518.406286,2110.162921,0.002371407176,,
80,518.40272,2110.086592,0.002371337709,,
